  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR      SSIM
    114      0.147988     0.150041      24.3682      34.5328  0.96993
    115      0.147557     0.149331      24.4323      34.5853  0.970005
    116      0.14709      0.148975      24.4309      34.5885  0.970029
    117      0.146341     0.150526      24.3609      34.5091  0.968662
    118      0.146203     0.148009      24.4411      34.6522  0.970087
    119      0.146202     0.14908       24.444       34.595   0.97019
    120      0.145294     0.150142      24.4015      34.5296  0.970296
    121      0.145338     0.147348      24.3944      34.7007  0.970608
    122      0.145104     0.146878      24.3975      34.7305  0.970925
    123      0.144725     0.147231      24.3782      34.6925  0.970836
    124      0.144803     0.146166      24.3758      34.7807  0.971326
    125      0.144762     0.149166      24.4         34.5711  0.969626
    126      0.144056     0.147003      24.4104      34.7051  0.970742
    127      0.143723     0.147517      24.4215      34.6949  0.970861
    128      0.143301     0.146345      24.3592      34.7541  0.970843
    129      0.143163     0.146605      24.4065      34.7481  0.971115
    130      0.143033     0.144672      24.3974      34.8551  0.971917
    131      0.142472     0.14526       24.3862      34.8255  0.971828
    132      0.141894     0.145609      24.4178      34.8243  0.971565
    133      0.141669     0.145147      24.4216      34.8303  0.971268
    134      0.141895     0.146768      24.4008      34.7384  0.971009
    135      0.141842     0.144384      24.4048      34.8682  0.971657
    136      0.14103      0.144467      24.3904      34.8861  0.971409
    137      0.140375     0.145002      24.3809      34.8369  0.971205
    138      0.141289     0.14507       24.373       34.8398  0.971663
    139      0.140532     0.143683      24.3874      34.9364  0.972071
    140      0.140781     0.145062      24.3804      34.8743  0.971525
    141      0.140281     0.143933      24.3721      34.922   0.971812
    142      0.13982      0.142058      24.4013      35.035   0.972703
    143      0.139227     0.142516      24.3967      35.0097  0.972465
    144      0.139273     0.143019      24.4001      34.9594  0.972329
    145      0.138896     0.143297      24.407       34.9305  0.971986
    146      0.138779     0.14269       24.3801      34.9851  0.972264
    147      0.138617     0.14193       24.3985      35.0239  0.972723
    148      0.138193     0.14205       24.4464      35.0132  0.972639
    149      0.138281     0.142299      24.3824      35.0002  0.9725
    150      0.138199     0.140622      24.4629      35.1308  0.973064
    151      0.13668      0.140734      24.3858      35.1305  0.973088
    152      0.137855     0.14073       24.3562      35.1207  0.972708
    153      0.137236     0.140753      24.4187      35.1225  0.973055
    154      0.137163     0.140542      24.4128      35.1085  0.973175
    155      0.137133     0.142522      24.4062      34.9923  0.972707
    156      0.137149     0.142143      24.4409      35.0135  0.972683
    157      0.136901     0.139644      24.406       35.183   0.97342
    158      0.13572      0.139513      24.3981      35.2035  0.973582
    159      0.135896     0.140595      24.376       35.0947  0.973674
    160      0.135829     0.139575      24.3602      35.1856  0.973283
    161      0.135993     0.140263      24.3634      35.1395  0.973079
    162      0.135599     0.140669      24.4252      35.0997  0.973219
    163      0.134733     0.13888       24.4342      35.2389  0.973812
    164      0.134885     0.140408      24.4428      35.1282  0.973409
    165      0.134866     0.138551      24.3918      35.2534  0.9737
    166      0.134436     0.13809       24.4072      35.2886  0.974491
    167      0.134856     0.138605      24.3866      35.2422  0.973935
    168      0.134089     0.137865      24.4093      35.2848  0.974044
    169      0.134158     0.137433      24.3675      35.3356  0.974215
    170      0.133804     0.137848      24.3939      35.2999  0.974508
    171      0.133623     0.137224      24.4033      35.342   0.974687
    172      0.13331      0.137034      24.4014      35.3433  0.974202
    173      0.133164     0.138826      24.4452      35.1962  0.974043
    174      0.132979     0.138323      24.3774      35.2613  0.9738
    175      0.132972     0.136978      24.4027      35.356   0.974539
    176      0.132856     0.136694      24.361       35.3759  0.974405
    177      0.132949     0.137835      24.3958      35.3004  0.974465
    178      0.132195     0.137706      24.3648      35.3263  0.97444
    179      0.131943     0.136812      24.4025      35.3937  0.974697
    180      0.131657     0.136636      24.3856      35.4006  0.974648
    181      0.132213     0.13636       24.4113      35.4041  0.974663
    182      0.131953     0.13712       24.3793      35.3324  0.974686
    183      0.13163      0.135548      24.3998      35.458   0.975145
    184      0.131333     0.1353        24.3986      35.4763  0.975276
    185      0.131769     0.134982      24.4245      35.4858  0.975432
    186      0.131085     0.135872      24.3928      35.4344  0.975058
    187      0.131101     0.135845      24.4005      35.429   0.974607
    188      0.130612     0.135474      24.3938      35.445   0.974922
    189      0.130218     0.134622      24.3982      35.508   0.97509
    190      0.130477     0.136083      24.3843      35.4118  0.974916
    191      0.130822     0.136326      24.3578      35.4046  0.974876
    192      0.130189     0.135079      24.4207      35.4656  0.974853
    193      0.129938     0.134829      24.3809      35.5145  0.975368
    194      0.130402     0.134803      24.3869      35.5058  0.975324
    195      0.129388     0.134698      24.4519      35.5021  0.975187
    196      0.12987      0.13514       24.3592      35.4826  0.975651
    197      0.126926     0.132767      24.3531      35.6302  0.97586
    198      0.126169     0.132433      24.3495      35.6524  0.976097
    199      0.126103     0.131825      24.3794      35.7014  0.976429
    200      0.126246     0.132176      24.4063      35.6769  0.976103
    201      0.125769     0.13162       24.3659      35.7117  0.976505
    202      0.125827     0.13235       24.4998      35.6579  0.97598
    203      0.125909     0.132242      24.4242      35.6806  0.97637
    204      0.125826     0.13212       24.3671      35.6769  0.97621
    205      0.125902     0.132034      24.477       35.6737  0.976287
    206      0.125746     0.132099      24.4007      35.6734  0.976201
    207      0.125679     0.131652      24.3745      35.7032  0.976481
    208      0.125652     0.13283       24.3595      35.629   0.976087
    209      0.125143     0.13192       24.3848      35.7087  0.9764
    210      0.125136     0.131504      24.407       35.7264  0.976562
    211      0.12555      0.131867      24.4263      35.6906  0.976283
    212      0.125515     0.131695      24.3715      35.7011  0.97643
    213      0.125449     0.131435      24.4005      35.7234  0.976487
    214      0.125144     0.131562      24.4239      35.7159  0.976565
    215      0.125389     0.131337      24.3395      35.7399  0.976236
    216      0.125526     0.13069       24.4046      35.7869  0.97678
    217      0.125033     0.131776      24.3408      35.6926  0.976018
    218      0.125031     0.132665      24.4058      35.6197  0.976079
    219      0.12535      0.131247      24.4402      35.7422  0.9763
    220      0.125147     0.132072      24.3977      35.6616  0.976071
    221      0.1252       0.131846      24.4271      35.6926  0.976357
    222      0.125177     0.131595      24.4885      35.7033  0.976509
    223      0.125602     0.132221      24.4008      35.651   0.975897
    224      0.125404     0.132172      24.3696      35.662   0.975857
    225      0.125242     0.131633      24.3847      35.709   0.976095
    226      0.125126     0.131748      24.3455      35.7054  0.976165
    227      0.125403     0.131238      24.3904      35.727   0.976543
    228      0.125075     0.131821      24.4241      35.6932  0.976276
